collection	filename	language	temp
british library	Or_11677.xml	fa	TRUE
british library	Or_11678.xml	fa	TRUE
british library	Or_11684.xml	fa	TRUE
british library	Or_11697.xml	fa	TRUE
british library	Or_11698.xml	fa	TRUE
british library	Or_11836.xml	fa	TRUE
british library	Or_11839.xml	fa	TRUE
british library	Or_11842.xml	fa	TRUE
british library	Or_11843.xml	fa	TRUE
british library	Or_11845.xml	fa	TRUE
british library	Or_11915.xml	fa	TRUE
british library	Or_11916.xml	fa	TRUE
british library	Or_11918.xml	fa	TRUE
british library	Or_11930.xml	fa	TRUE
british library	Or_11942.xml	fa	TRUE
british library	Or_11953.xml	fa	TRUE
british library	Or_11955.xml	fa	TRUE
british library	Or_11959.xml	fa	TRUE
british library	Or_11964.xml	fa	TRUE
british library	Or_11965.xml	fa	TRUE
british library	Or_11979.xml	fa	TRUE
british library	Or_12001.xml	fa	TRUE
british library	Or_12066.xml	fa	TRUE
british library	Or_12077.xml	fa	TRUE
british library	Or_12088.xml	fa	TRUE
british library	Or_12187.xml	fa	TRUE
british library	Or_12388.xml	fa	TRUE
british library	Or_12413.xml	fa	TRUE
british library	Or_12787.xml	fa	TRUE
british library	Or_12988.xml	fa	TRUE
british library	Or_13102.xml	fa	TRUE
british library	Or_13140.xml	fa	TRUE
british library	Or_13215.xml	fa	TRUE
british library	Or_13351.xml	fa	TRUE
british library	Or_13353.xml	fa	TRUE
british library	Or_1362.xml	fa	TRUE
british library	Or_13851.xml	fa	TRUE
british library	Or_13853.xml	fa	TRUE
british library	Or_13908.xml	fa	TRUE
british library	Or_13935.xml	fa	TRUE
british library	Or_13936.xml	fa	TRUE
british library	Or_13942.xml	fa	TRUE
british library	Or_14106.xml	fa	TRUE
